+-----+-------------------------------------------------------+-------------------+---------------+----------------+------------+------------+----------+----------+----------+------------+---------+----------+------------+
|     | Name                                                  | Shape             |   NNZ (dense) |   NNZ (sparse) |   Cols (%) |   Rows (%) |   Ch (%) |   2D (%) |   3D (%) |   Fine (%) |     Std |     Mean |   Abs-Mean |
|  83 | module.features.denseblock3.denselayer23.conv1.weight | (128, 960, 1, 1)  |        122880 |         122880 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00053 | -0.00001 |    0.00004 |
|  84 | module.features.denseblock3.denselayer23.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00100 |  0.00003 |    0.00021 |
|  85 | module.features.denseblock3.denselayer24.conv1.weight | (128, 992, 1, 1)  |        126976 |         126976 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00052 | -0.00001 |    0.00003 |
|  86 | module.features.denseblock3.denselayer24.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00105 |  0.00007 |    0.00016 |
|  87 | module.features.transition3.conv.weight               | (512, 1024, 1, 1) |        524288 |         524288 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00128 |  0.00004 |    0.00012 |
|  88 | module.features.denseblock4.denselayer1.conv1.weight  | (128, 512, 1, 1)  |         65536 |          65536 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00050 |  0.00003 |    0.00005 |
|  89 | module.features.denseblock4.denselayer1.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00109 |  0.00010 |    0.00012 |
|  90 | module.features.denseblock4.denselayer2.conv1.weight  | (128, 544, 1, 1)  |         69632 |          69632 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00055 |  0.00004 |    0.00006 |
|  91 | module.features.denseblock4.denselayer2.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00111 |  0.00010 |    0.00013 |
|  92 | module.features.denseblock4.denselayer3.conv1.weight  | (128, 576, 1, 1)  |         73728 |          73728 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00059 |  0.00004 |    0.00006 |
