parameter,sparsity,nat_top1,nat_top5,nat_loss,adv_top1,adv_top5,adv_loss,variance
module.basic_model.model.5.3.weight,0.45,69.432,89.02600000000001,1.2893119529890684,0.18200000000000438,2.205999999999997,28.949973415733517,0.2758873403072357
module.basic_model.model.5.3.weight,0.5,69.256,88.846,1.3011640812903746,0.18200000000000438,2.205999999999997,29.190323834532112,0.2758873403072357
module.basic_model.model.5.3.weight,0.55,69.06,88.72,1.3132109652706552,0.15600000000000058,1.9499999999999962,28.89794190053522,0.2758873403072357
module.basic_model.model.5.3.weight,0.6000000000000001,68.25,88.256,1.3413597319420543,0.15800000000000258,1.7040000000000055,28.835695458312735,0.2758873403072357
module.basic_model.model.5.3.weight,0.65,67.49000000000001,87.822,1.3641163296068002,0.15800000000000258,1.434000000000002,27.94365272778235,0.2758873403072357
module.basic_model.model.5.3.weight,0.7000000000000001,65.49400000000001,86.612,1.4586876043888972,0.11400000000000299,1.1820000000000053,29.499937931849058,0.2758873403072357
module.basic_model.model.5.3.weight,0.75,62.574,84.41199999999999,1.6262377665276277,0.10400000000000409,1.0580000000000034,29.390955943292496,0.2758873403072357
module.basic_model.model.5.3.weight,0.8,54.264,77.958,2.0764825202987085,0.08599999999999719,0.7859999999999978,28.255619893528618,0.2758873403072357
module.basic_model.model.5.3.weight,0.8500000000000001,33.342000000000006,57.391999999999996,3.48272183165669,0.08000000000000229,0.6299999999999972,24.703275563086883,0.2758873403072357
module.basic_model.model.5.3.weight,0.9,6.559999999999999,16.744000000000003,7.547569750900536,0.014000000000002899,0.23600000000000287,24.007202786661,0.2758873403072357
module.basic_model.model.6.0.weight,0.0,69.57,89.072,1.2836479661331996,0.19400000000000528,2.283999999999997,28.7553003430748,0.2789316475391388
module.basic_model.model.6.0.weight,0.05,69.57,89.072,1.2836479661331996,0.20200000000000218,2.2739999999999982,28.747660280875714,0.2789316475391388
module.basic_model.model.6.0.weight,0.1,69.57,89.072,1.2836479661331996,0.19400000000000528,2.2580000000000044,28.759649207785763,0.2789316475391388
module.basic_model.model.6.0.weight,0.15000000000000002,69.57,89.072,1.2836479661331996,0.19400000000000528,2.2700000000000053,28.769494653434545,0.2789316475391388
module.basic_model.model.6.0.weight,0.2,69.57,89.072,1.2836479661331996,0.19599999999999618,2.2700000000000053,28.748349912183354,0.2789316475391388
module.basic_model.model.6.0.weight,0.25,69.572,89.064,1.283798438916964,0.20400000000000418,2.283999999999997,28.78309778334314,0.2789316475391388
module.basic_model.model.6.0.weight,0.30000000000000004,69.42200000000001,88.97,1.2875548974108562,0.19599999999999618,2.200000000000002,28.768076017432204,0.2789316475391388
