parameter,sparsity,top1,top5,loss,variance
module.layer3.0.downsample.0.weight,0.15000000000000002,92.12,99.74,0.270812302455306,0.000770131649915129
module.layer3.0.downsample.0.weight,0.2,92.12,99.74,0.27428210973739625,0.000770131649915129
module.layer3.0.downsample.0.weight,0.25,92.12,99.74,0.27464614287018774,0.000770131649915129
module.layer3.0.downsample.0.weight,0.30000000000000004,92.12,99.74,0.2963295407593249,0.000770131649915129
module.layer3.0.downsample.0.weight,0.35000000000000003,92.12,99.74,0.2744533933699131,0.000770131649915129
module.layer3.0.downsample.0.weight,0.4,92.12,99.74,0.2725453194230796,0.000770131649915129
module.layer3.0.downsample.0.weight,0.45,92.12,99.74,0.278291717916727,0.000770131649915129
module.layer3.0.downsample.0.weight,0.5,92.11,99.74,0.2798832461237907,0.000770131649915129
module.layer3.0.downsample.0.weight,0.55,92.11,99.74,0.2775207340717315,0.000770131649915129
module.layer3.0.downsample.0.weight,0.6000000000000001,92.11,99.74,0.2726082729175687,0.000770131649915129
module.layer3.0.downsample.0.weight,0.65,92.08,99.74,0.2873449057340622,0.000770131649915129
module.layer3.0.downsample.0.weight,0.7000000000000001,92.07,99.74,0.2763627238571643,0.000770131649915129
module.layer3.0.downsample.0.weight,0.75,92.04,99.74,0.2792279064655304,0.000770131649915129
module.layer3.0.downsample.0.weight,0.8,92.05,99.74,0.27829596400260925,0.000770131649915129
module.layer3.0.downsample.0.weight,0.8500000000000001,92.06,99.74,0.2771763343364,0.000770131649915129
module.layer3.0.downsample.0.weight,0.9,92.09,99.75,0.27873021699488154,0.000770131649915129
module.layer3.1.conv1.weight,0.0,92.12,99.74,0.27661382891237746,0.0008886596187949181
module.layer3.1.conv1.weight,0.05,92.12,99.74,0.28340447917580597,0.0008886596187949181
module.layer3.1.conv1.weight,0.1,92.12,99.74,0.2762593440711499,0.0008886596187949181
module.layer3.1.conv1.weight,0.15000000000000002,92.12,99.74,0.2831874880939722,0.0008886596187949181
module.layer3.1.conv1.weight,0.2,92.12,99.74,0.2802987564355136,0.0008886596187949181
module.layer3.1.conv1.weight,0.25,92.12,99.74,0.274861265718937,0.0008886596187949181
module.layer3.1.conv1.weight,0.30000000000000004,92.12,99.74,0.2929385103285313,0.0008886596187949181
module.layer3.1.conv1.weight,0.35000000000000003,92.12,99.74,0.2763532757759095,0.0008886596187949181
module.layer3.1.conv1.weight,0.4,92.13,99.74,0.2768839098513126,0.0008886596187949181
module.layer3.1.conv1.weight,0.45,92.13,99.74,0.2709045346826315,0.0008886596187949181
module.layer3.1.conv1.weight,0.5,92.12,99.74,0.27156193740665907,0.0008886596187949181
module.layer3.1.conv1.weight,0.55,92.13,99.74,0.2731177248060703,0.0008886596187949181
module.layer3.1.conv1.weight,0.6000000000000001,92.12,99.74,0.2940634090453386,0.0008886596187949181
module.layer3.1.conv1.weight,0.65,92.12,99.74,0.27136553823947895,0.0008886596187949181
module.layer3.1.conv1.weight,0.7000000000000001,92.11,99.74,0.27200107127428047,0.0008886596187949181
module.layer3.1.conv1.weight,0.75,92.10000000000001,99.74,0.27239771671593177,0.0008886596187949181
module.layer3.1.conv1.weight,0.8,92.09,99.74,0.27241435199975966,0.0008886596187949181
module.layer3.1.conv1.weight,0.8500000000000001,92.08,99.74,0.2739897087216377,0.0008886596187949181
module.layer3.1.conv1.weight,0.9,92.07,99.74,0.2725475713610649,0.0008886596187949181
module.layer3.1.conv2.weight,0.0,92.12,99.74,0.2715389527380466,0.0008451394969597459
module.layer3.1.conv2.weight,0.05,92.12,99.74,0.2746319614350795,0.0008451394969597459
module.layer3.1.conv2.weight,0.1,92.12,99.74,0.27186039574444293,0.0008451394969597459
module.layer3.1.conv2.weight,0.15000000000000002,92.12,99.74,0.2734642215073109,0.0008451394969597459
module.layer3.1.conv2.weight,0.2,92.12,99.74,0.2707201428711413,0.0008451394969597459
module.layer3.1.conv2.weight,0.25,92.13,99.74,0.2720704283565283,0.0008451394969597459
module.layer3.1.conv2.weight,0.30000000000000004,92.13,99.74,0.27532571479678153,0.0008451394969597459
module.layer3.1.conv2.weight,0.35000000000000003,92.13,99.74,0.2718289863318205,0.0008451394969597459
module.layer3.1.conv2.weight,0.4,92.13,99.74,0.27707614786922924,0.0008451394969597459
module.layer3.1.conv2.weight,0.45,92.11,99.74,0.27790252529084686,0.0008451394969597459
module.layer3.1.conv2.weight,0.5,92.11,99.74,0.2706345871090889,0.0008451394969597459
module.layer3.1.conv2.weight,0.55,92.11,99.74,0.30278676338493826,0.0008451394969597459
module.layer3.1.conv2.weight,0.6000000000000001,92.08,99.74,0.27529386021196844,0.0008451394969597459
module.layer3.1.conv2.weight,0.65,92.09,99.75,0.2766134593635798,0.0008451394969597459
module.layer3.1.conv2.weight,0.7000000000000001,92.10000000000001,99.75,0.2836482577025891,0.0008451394969597459
module.layer3.1.conv2.weight,0.75,92.09,99.75,0.27130938060581683,0.0008451394969597459
module.layer3.1.conv2.weight,0.8,92.03,99.76,0.27367812767624855,0.0008451394969597459
module.layer3.1.conv2.weight,0.8500000000000001,91.95,99.77000000000001,0.27670653238892556,0.0008451394969597459
module.layer3.1.conv2.weight,0.9,91.86,99.76,0.28570412322878835,0.0008451394969597459
module.layer3.1.conv3.weight,0.0,92.12,99.74,0.27702801339328287,0.000828189542517066
module.layer3.1.conv3.weight,0.05,92.12,99.74,0.27807282581925397,0.000828189542517066
module.layer3.1.conv3.weight,0.1,92.12,99.74,0.27855404615402213,0.000828189542517066
module.layer3.1.conv3.weight,0.15000000000000002,92.12,99.74,0.2774027619510889,0.000828189542517066
module.layer3.1.conv3.weight,0.2,92.12,99.74,0.2749305926263332,0.000828189542517066
module.layer3.1.conv3.weight,0.25,92.12,99.74,0.2734211586415767,0.000828189542517066
module.layer3.1.conv3.weight,0.30000000000000004,92.12,99.74,0.2792574185878039,0.000828189542517066
module.layer3.1.conv3.weight,0.35000000000000003,92.12,99.74,0.2842887561768293,0.000828189542517066
module.layer3.1.conv3.weight,0.4,92.12,99.74,0.27251984924077993,0.000828189542517066
module.layer3.1.conv3.weight,0.45,92.12,99.74,0.2772734116762876,0.000828189542517066
module.layer3.1.conv3.weight,0.5,92.12,99.74,0.2742190424352884,0.000828189542517066
module.layer3.1.conv3.weight,0.55,92.12,99.74,0.276700072735548,0.000828189542517066
module.layer3.1.conv3.weight,0.6000000000000001,92.12,99.74,0.27819464541971684,0.000828189542517066
module.layer3.1.conv3.weight,0.65,92.12,99.74,0.2777637057006359,0.000828189542517066
module.layer3.1.conv3.weight,0.7000000000000001,92.12,99.74,0.27446370720863356,0.000828189542517066
module.layer3.1.conv3.weight,0.75,92.12,99.74,0.27077770084142677,0.000828189542517066
module.layer3.1.conv3.weight,0.8,92.12,99.74,0.2767945516854525,0.000828189542517066
module.layer3.1.conv3.weight,0.8500000000000001,92.12,99.74,0.2732253551483155,0.000828189542517066
module.layer3.1.conv3.weight,0.9,92.12,99.74,0.27642205730080605,0.000828189542517066
module.layer3.2.conv1.weight,0.0,92.12,99.74,0.2705540399998426,0.0007566551794297993
module.layer3.2.conv1.weight,0.05,92.12,99.74,0.27088013403117656,0.0007566551794297993
module.layer3.2.conv1.weight,0.1,92.12,99.74,0.2814026892185212,0.0007566551794297993
module.layer3.2.conv1.weight,0.15000000000000002,92.12,99.74,0.2737802997231483,0.0007566551794297993
module.layer3.2.conv1.weight,0.2,92.12,99.74,0.2748294372111559,0.0007566551794297993
module.layer3.2.conv1.weight,0.25,92.12,99.74,0.27146756462752814,0.0007566551794297993
module.layer3.2.conv1.weight,0.30000000000000004,92.12,99.74,0.2737815272063017,0.0007566551794297993
module.layer3.2.conv1.weight,0.35000000000000003,92.12,99.74,0.2774213720113039,0.0007566551794297993
module.layer3.2.conv1.weight,0.4,92.12,99.74,0.28019633181393144,0.0007566551794297993
module.layer3.2.conv1.weight,0.45,92.12,99.74,0.2712396528571844,0.0007566551794297993
module.layer3.2.conv1.weight,0.5,92.13,99.74,0.27535385787487027,0.0007566551794297993
module.layer3.2.conv1.weight,0.55,92.13,99.74,0.27967511974275117,0.0007566551794297993
